fact	0.3870606615402964
form factor	0.25380053129815044
part	0.400000000106569
pen pockets	0.40000000009020537
title	0.5333333334399131
Bullet Pens	0.5000000000902487
positive click	0.5857142858037552
tips	0.5500000001066123
sharp edges however	0.581818181907952
refills	0.4039090773504759
Space pens	0.40000000009056896
ordering experience	0.5777777778664737
amazon.com	0.4000000001066123
model	0.3685828218473647
change pocket	0.5882352942073362
brassing	0.5800000001066123
addition	0.35730851333707403
Pilot G-2	0.4000000000910351
mistake	0.4137639389210396
brushed metal texture	0.5857142858037552
review brief	0.5818181819081275
gamble	0.500000000106569
dependability	0.4251558996355345
pocket pen	0.5600000000905689
bullet pen	0.3839972031791135
rollerball/gel pens	0.40000000008871756
small needs	0.5857142858045344
girl	0.413727328206963
look	0.35372732820696307
Fisher Bullet	0.40000000008965675
boy scout motto	0.5818181819087942
space pen	0.3726592821209744
whole pen	0.5714285715195957
attention	0.5714285715351838
writer	0.4039090773504759
pen snapped	0.5777777778680048
fisher ink system	0.4000000000900984
thing	0.3739765803167946
binder notebooks	0.400000000089069
purse	0.2538005313145141
